username,user_url,title,view_num,created_at,video_url,shortdesc,collected_at
MSNBC,/user/msnbcleanforward,The Vatican Responds To Catholic Sexual Abuse Scandal In PA | Velshi & Ruhle | MSNBC,20K,20K views,/watch?v=k5nX2YOM-GU,"About: MSNBC is the premier destination for in-depth analysis of daily headlines, insightful political commentary and informed ...",05:55.7
euronews,/user/Euronews,New sex abuse scandal rocks Catholic Church in Poland,16K,16K views,/watch?v=esY4-YjSbnI,A new documentary exposing child sex abuse by members of the Roman Catholic Church is forcing the country's bishops to meet ...,05:55.7
Truth Above,/channel/UCDRMkZqa9g3otbnv7r21BAA,Documentary proving Catholic Church's systematic abuse & cover up in USA,43K,43K views,/watch?v=ckmZahKS-Zo,,05:55.7
FRANCE 24 English,/user/france24english,Catholic Church: Sex abuse scandals,37K,37K views,/watch?v=sbl--JbGGQ4,In recent months the Catholic Church has been rocked by scandal. After widespread accusations of child abuse by priests in ...,05:55.7
The New York Times,/user/TheNewYorkTimes,How the Catholic Church Hid Away Hundreds of Irish Children | Times Documentaries,1.8M,1.8M views,/watch?v=XoulaehrD_I,"Ireland wanted to forget, but the dead don't always stay buried. One woman made it her mission to unearth the truth. Subscribe on ...",05:55.7
Catholic Answers,/user/catholiccom,"""Scandals Caused Me To Leave the Church""",21K,21K views,/watch?v=pEdPG7bWOJA,"www.catholic.com After his conversion to the Catholic Faith, Trent Horn earned a bachelor's degree in history from Arizona State ...",05:55.7
Secular Talk,/user/SecularTalk,Catholic Church Scandal Somehow Gets Worse,84K,84K views,/watch?v=gTYZqDo1RL0,"Clip from The Kyle Kulinski Show, which airs live on Blog Talk Radio and Secular Talk Radio Monday - Friday 11:00 AM - 12:30 ...",05:55.7
DW News,/user/deutschewelleenglish,Catholic Church covered up sexual abuse of children by Pennsylvania priests | DW English,28K,28K views,/watch?v=zdP4h7ee5lo,A grand jury in the US state of Pennsylvania has published its report on the sexual abuse of children by Roman Catholic priests.,05:55.7
CBS This Morning,/user/CBSThisMorning,Victims of sex abuse by Pennsylvania priests share their stories,121K,121K views,/watch?v=oHQJCmsFd9k,The first Pennsylvania statewide investigation into abuses by Catholic priests is expected to be released any day now. The grand ...,05:55.7
The Late Show with Stephen Colbert,/channel/UCMtFAi84ehTSYSE9XoHefig,"Mark Ruffalo Talks 2016, His New Film And The Catholic Church",512K,512K views,/watch?v=iSvNDlJVfTw,"Mark Ruffalo's latest film ""Spotlight"" takes a look at how the Boston Globe broke the story of the massive child molestation scandal ...",05:55.7
VOA News,/user/VOAvideo,Germany Rocked By Catholic Abuse Cover-up; Pope Warns Scandals 'Driving People From Church',6.1K,6.1K views,/watch?v=a5JySXHptnQ,Pope Francis has acknowledged that the cover-up of clerical sexual abuse is driving people away from the Church. He made the ...,05:55.7
